
Наличие основных строительных машин со сроком службы, превышающим срок амортизации, штука, Городской округ, городской округ с внутригородским делением, значение показателя за год
;Городской округ г.Казань;Городской округ г. Набережные Челны;
;город Казань;город Набережные Челны;
;2024;2024;
Строительство зданий;;;;;
Краны башенные строительные;;11;
Погрузчики одноковшовые самоходные;;9;
Краны передвижные;;12;
Автокраны;;9;
Бетономешалки или растворосмесители;;10;
Строительство инженерных сооружений;;;;;
Экскаваторы самоходные одноковшовые;25;;
Грейдеры самоходные;14;;
Погрузчики одноковшовые самоходные;15;;
Катки дорожные самоходные;35;;
Автокраны;10;;
Работы строительные специализированные;;;;;
Автокраны;;4;
